Number,Word
000,ססס
001,ססי
002,ססב
003,ססג
004,ססק
005,ססנ
006,ססל
007,ססר
008,ססח
009,ססת
010,סמס
011,סמי
012,סמו
013,סיג
014,סמק
015,סמנ
016,סמל
017,סיר
018,סמש
019,סית
020,סוס
021,סבי
022,סבב
023,סוג
024,סוד
025,סבע
026,סול
027,סבר
028,סוש
029,סוט
030,סגס
031,סגי
032,סגב
033,סגג
034,סגד
035,סגנ
036,סגל
037,סגר
038,סגש
039,סגת
040,סקס
041,סקי
042,סדו
043,סקצ
044,סקד
045,סקנ
046,סקל
047,סדר
048,סקש
049,סקת
050,סנס
051,סני
052,סנב
053,סנג
054,סנק
055,סננ
056,סנפ
057,סהר
058,סנש
059,סנט
060,סלס
061,סלמ
062,סלב
063,ספג
064,סלק
065,ספנ
066,ספל
067,ספר
068,סלח
069,סלט
070,סרס
071,סרי
072,סרו
073,סרג
074,סרק
075,סרנ
076,סרפ
077,סרר
078,סרח
079,סרט
080,סחס
081,סחי
082,סחב
083,סחג
084,סחק
085,סשנ
086,סשל
087,סחר
088,סחח
089,סחט
090,סטס
091,סתמ
092,סתו
093,סטצ
094,סטק
095,סטנ
096,סטפ
097,סתר
098,סטש
099,סטט
100,מסס
101,מסי
102,יסו
103,מסג
104,יסד
105,מסנ
106,מספ
107,מסר
108,מסח
109,מסט
110,ימס
111,מימ
112,מיו
113,מיצ
114,ממד
115,ממנ
116,מיל
117,ממר
118,ייש
119,ממט
120,מוס
121,יומ
122,מוב
123,מוג
124,מוד
125,יונ
126,מבל
127,מור
128,מוח
129,מבט
130,מגס
131,מגי
132,מצב
133,מצג
134,מגד
135,מגנ
136,מצל
137,יצר
138,מצח
139,מצת
140,מדס
141,מקמ
142,יקב
143,מקצ
144,מדד
145,מדע
146,מקל
147,יקר
148,מקש
149,מקת
150,מנס
151,מעמ
152,יהו
153,מנג
154,יהד
155,מאה
156,יעל
157,מנר
158,מהש
159,מנת
160,מפס
161,מלי
162,יפו
163,מפצ
164,ילד
165,יפנ
166,מפל
167,מפז
168,מלח
169,מלט
170,מרס
171,יזמ
172,מרב
173,מזג
174,מרק
175,מרנ
176,מזל
177,מרר
178,ירח
179,מרט
180,יחס
181,ישי
182,ישו
183,מחצ
184,יחד
185,ישנ
186,משל
187,ישר
188,מחש
189,מחט
190,מטס
191,יטי
192,מטב
193,יתצ
194,מטק
195,מתנ
196,מטל
197,מטר
198,מתח
199,מטט
200,בסס
